,Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary,Country,Race,Continent,Experience_Range,Race_Category,Latitude,Longitude
23,36,Female,Bachelor's,Recruiter,9,60000,China,White,Asia,41913,White,35.86166,"104.195397	"
24,41,Male,Master's,Financial Manager,13,140000,USA,African American,America,15-19,Black,37.09024,-95.712891
25,28,Female,Bachelor's,Social Media Specialist,3,45000,Canada,White,America,45174,White,56.130366,106.346771
26,37,Female,Master's,Software Manager,11,110000,Australia,Asian,Oceania,41913,Asian,25.274398,133.775136
27,24,Male,Bachelor's,Junior Developer,1,40000,Australia,Asian,Oceania,0-4,Asian,25.274398,133.775136
28,43,Female,PhD,Senior Consultant,15,140000,Canada,Black,America,15-19,Black,56.130366,106.346771
29,33,Male,Master's,Product Designer,6,90000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
30,50,Male,Bachelor's,CEO,25,250000,Canada,Asian,America,25-29,Asian,56.130366,106.346771
31,31,Female,Bachelor's,Accountant,4,55000,UK,White,Europe,45174,White,55.378051,-3.435973
32,29,Male,Master's,Data Scientist,3,75000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
33,39,Female,Bachelor's,Marketing Specialist,10,65000,Canada,White,America,41913,White,56.130366,106.346771
34,46,Male,PhD,Senior Manager,20,170000,USA,Hispanic,America,20-24,Other,37.09024,-95.712891
35,27,Male,Bachelor's,Technical Writer,2,45000,Australia,Asian,Oceania,0-4,Asian,25.274398,133.775136
36,35,Female,Bachelor's,HR Generalist,7,60000,UK,White,Europe,45174,White,55.378051,-3.435973
37,42,Male,Master's,Project Engineer,14,115000,China,White,Asia,15-19,White,35.86166,"104.195397	"
38,26,Female,Bachelor's,Customer Success Rep,1,40000,Canada,Asian,America,0-4,Asian,56.130366,106.346771
39,49,Male,Bachelor's,Sales Executive,21,160000,China,White,Asia,20-24,White,35.86166,"104.195397	"
40,34,Female,Master's,UX Designer,5,80000,UK,Asian,Europe,45174,Asian,55.378051,-3.435973
41,48,Male,Master's,Operations Director,18,190000,Canada,Black,America,20-24,Black,56.130366,106.346771
42,30,Male,Bachelor's,Network Engineer,3,60000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
43,36,Female,Bachelor's,Administrative Assistant,8,45000,UK,Asian,Europe,41913,Asian,55.378051,-3.435973
44,41,Male,Master's,Strategy Consultant,13,130000,UK,Asian,Europe,15-19,Asian,55.378051,-3.435973
45,28,Female,Bachelor's,Copywriter,2,40000,USA,White,America,0-4,White,37.09024,-95.712891
46,32,Male,Bachelor's,Account Manager,5,75000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
47,45,Female,Master's,Director of Marketing,16,180000,UK,Welsh,Europe,15-19,White,55.378051,-3.435973
48,38,Male,PhD,Senior Scientist,11,120000,Australia,Asian,Oceania,41913,Asian,25.274398,133.775136
49,25,Male,Bachelor's,Help Desk Analyst,0,35000,USA,Asian,America,0-4,Asian,37.09024,-95.712891
50,51,Female,Bachelor's,Customer Service Manager,22,130000,China,Korean,Asia,20-24,Asian,35.86166,"104.195397	"
51,33,Male,Master's,Business Intelligence Analyst,7,85000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
52,40,Female,Bachelor's,Event Coordinator,12,60000,China,White,Asia,41913,White,35.86166,"104.195397	"
53,47,Male,Master's,VP of Finance,19,200000,Australia,Asian,Oceania,20-24,Asian,25.274398,133.775136
54,29,Female,Bachelor's,Graphic Designer,3,50000,Canada,Black,America,45174,Black,56.130366,106.346771
55,36,Male,Bachelor's,Sales Manager,9,95000,China,Korean,Asia,41913,Asian,35.86166,"104.195397	"
56,27,Female,Master's,UX Researcher,2,65000,Canada,White,America,0-4,White,56.130366,106.346771
57,43,Male,PhD,Senior Engineer,17,140000,USA,Hispanic,America,15-19,Other,37.09024,-95.712891
58,30,Female,Bachelor's,Social Media Manager,4,55000,Canada,White,America,45174,White,56.130366,106.346771
59,35,Male,Master's,Product Manager,7,105000,Canada,Asian,America,45174,Asian,56.130366,106.346771
60,51,Female,Master's,Director of Operations,23,170000,USA,African American,America,25-29,Black,37.09024,-95.712891
61,29,Male,Bachelor's,Marketing Analyst,3,50000,China,Chinese,Asia,45174,Asian,35.86166,"104.195397	"
62,40,Female,Bachelor's,HR Manager,12,80000,China,Korean,Asia,41913,Asian,35.86166,"104.195397	"
63,47,Male,PhD,Senior Data Scientist,21,180000,China,White,Asia,20-24,White,35.86166,"104.195397	"
64,26,Male,Bachelor's,Junior Accountant,1,35000,Australia,Australian,Oceania,0-4,White,25.274398,133.775136
65,38,Female,Master's,Digital Marketing Manager,10,90000,China,Korean,Asia,41913,Asian,35.86166,"104.195397	"
66,46,Male,Bachelor's,IT Manager,19,120000,Australia,Australian,Oceania,20-24,White,25.274398,133.775136
67,31,Female,Bachelor's,Customer Service Representative,5,45000,Canada,Asian,America,45174,Asian,56.130366,106.346771
68,34,Male,Master's,Business Development Manager,8,90000,Canada,Asian,America,41913,Asian,56.130366,106.346771
69,49,Female,Master's,Senior Financial Analyst,18,150000,Canada,White,America,20-24,White,56.130366,106.346771
70,33,Male,Bachelor's,Web Developer,6,65000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
71,39,Female,Bachelor's,Recruiter,11,70000,USA,Asian,America,41913,Asian,37.09024,-95.712891
72,45,Male,PhD,Research Director,16,190000,UK,Mixed,Europe,15-19,Other,55.378051,-3.435973
73,28,Male,Bachelor's,Technical Support Specialist,2,40000,China,Korean,Asia,0-4,Asian,35.86166,"104.195397	"
74,42,Female,Master's,Creative Director,14,120000,Canada,Black,America,15-19,Black,56.130366,106.346771
75,37,Male,Bachelor's,Project Manager,10,95000,USA,Asian,America,41913,Asian,37.09024,-95.712891
76,50,Female,Bachelor's,Operations Manager,22,160000,USA,White,America,20-24,White,37.09024,-95.712891
77,32,Male,Master's,Senior Software Engineer,6,100000,USA,African American,America,45174,Black,37.09024,-95.712891
78,48,Female,Master's,Human Resources Director,20,180000,Canada,Black,America,20-24,Black,56.130366,106.346771
79,30,Female,Bachelor's,Content Marketing Manager,3,55000,Australia,White,Oceania,45174,White,25.274398,133.775136
80,36,Male,Bachelor's,Technical Recruiter,8,70000,UK,Asian,Europe,41913,Asian,55.378051,-3.435973
81,41,Female,Master's,Data Analyst,13,80000,USA,White,America,15-19,White,37.09024,-95.712891
82,25,Male,Bachelor's,Sales Representative,0,30000,Australia,Asian,Oceania,0-4,Asian,25.274398,133.775136
83,52,Male,PhD,Chief Technology Officer,24,250000,Canada,Black,America,25-29,Black,56.130366,106.346771
84,29,Female,Bachelor's,Junior Designer,2,40000,Australia,Asian,Oceania,0-4,Asian,25.274398,133.775136
85,34,Female,Master's,Financial Advisor,10,95000,UK,White,Europe,41913,White,55.378051,-3.435973
86,27,Male,Bachelor's,Junior Account Manager,2,45000,Canada,White,America,0-4,White,56.130366,106.346771
87,40,Female,Bachelor's,HR Generalist,15,80000,USA,Hispanic,America,15-19,Other,37.09024,-95.712891
88,46,Male,Master's,Senior Project Manager,21,135000,Canada,Asian,America,20-24,Asian,56.130366,106.346771
89,31,Female,Bachelor's,Marketing Coordinator,6,55000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
90,36,Male,PhD,Principal Scientist,11,120000,UK,Mixed,Europe,41913,Other,55.378051,-3.435973
91,29,Female,Bachelor's,Sales Associate,3,40000,China,White,Asia,45174,White,35.86166,"104.195397	"
92,43,Male,Bachelor's,Supply Chain Manager,18,105000,UK,Welsh,Europe,20-24,White,55.378051,-3.435973
93,52,Female,Master's,Senior Marketing Manager,25,170000,China,Chinese,Asia,25-29,Asian,35.86166,"104.195397	"
94,33,Male,Bachelor's,Business Analyst,7,75000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
95,39,Female,Bachelor's,Training Specialist,12,65000,USA,African American,America,41913,Black,37.09024,-95.712891
96,47,Male,PhD,Research Scientist,22,160000,Australia,Asian,Oceania,20-24,Asian,25.274398,133.775136
97,26,Male,Bachelor's,Junior Software Developer,1,35000,China,White,Asia,0-4,White,35.86166,"104.195397	"
98,38,Female,Master's,Public Relations Manager,10,90000,UK,Asian,Europe,41913,Asian,55.378051,-3.435973
99,45,Male,Bachelor's,Operations Analyst,20,110000,China,Chinese,Asia,20-24,Asian,35.86166,"104.195397	"
100,31,Female,Bachelor's,Event Coordinator,5,45000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
101,35,Male,Master's,Product Marketing Manager,8,95000,China,White,Asia,41913,White,35.86166,"104.195397	"
102,49,Female,Master's,Senior HR Manager,19,150000,Australia,White,Oceania,20-24,White,25.274398,133.775136
103,33,Male,Bachelor's,Junior Web Developer,5,50000,Canada,Asian,America,45174,Asian,56.130366,106.346771
104,39,Female,Master's,Senior Project Coordinator,13,80000,UK,Welsh,Europe,15-19,White,55.378051,-3.435973
105,44,Male,PhD,Chief Data Officer,16,220000,USA,African American,America,15-19,Black,37.09024,-95.712891
106,30,Female,Bachelor's,Digital Content Producer,3,50000,UK,White,Europe,45174,White,55.378051,-3.435973
107,36,Male,Bachelor's,IT Support Specialist,7,60000,USA,Asian,America,45174,Asian,37.09024,-95.712891
108,41,Female,Master's,Senior Marketing Analyst,14,100000,USA,White,America,15-19,White,37.09024,-95.712891
109,28,Male,Bachelor's,Customer Success Manager,2,40000,USA,Hispanic,America,0-4,Other,37.09024,-95.712891
110,42,Female,Master's,Senior Graphic Designer,15,110000,USA,Asian,America,15-19,Asian,37.09024,-95.712891
111,37,Male,Bachelor's,Software Project Manager,9,95000,UK,White,Europe,41913,White,55.378051,-3.435973
112,50,Female,Bachelor's,Supply Chain Analyst,22,130000,UK,Welsh,Europe,20-24,White,55.378051,-3.435973
113,32,Male,Master's,Senior Business Analyst,6,90000,USA,Asian,America,45174,Asian,37.09024,-95.712891
114,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,USA,White,America,0-4,White,37.09024,-95.712891
115,31,Male,Master's,Senior Financial Analyst,6,95000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
116,40,Female,Bachelor's,Office Manager,15,65000,USA,White,America,15-19,White,37.09024,-95.712891
117,48,Male,PhD,Principal Engineer,20,170000,USA,Hispanic,America,20-24,Other,37.09024,-95.712891
118,29,Female,Bachelor's,Junior HR Generalist,3,45000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
119,35,Male,Master's,Senior Product Manager,10,120000,Canada,White,America,41913,White,56.130366,106.346771
120,42,Female,Bachelor's,Sales Manager,17,100000,China,Korean,Asia,15-19,Asian,35.86166,"104.195397	"
121,53,Male,Master's,Director of Marketing,25,180000,UK,Mixed,Europe,25-29,Other,55.378051,-3.435973
122,33,Female,Bachelor's,Junior Operations Analyst,5,50000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
123,38,Male,Bachelor's,Customer Service Manager,11,80000,China,White,Asia,41913,White,35.86166,"104.195397	"
124,44,Female,PhD,Senior Scientist,16,140000,UK,Mixed,Europe,15-19,Other,55.378051,-3.435973
125,26,Male,Bachelor's,Junior Accountant,2,40000,UK,White,Europe,0-4,White,55.378051,-3.435973
126,37,Female,Master's,Senior HR Generalist,9,95000,USA,African American,America,41913,Black,37.09024,-95.712891
127,45,Male,Bachelor's,Sales Operations Manager,18,110000,UK,White,Europe,20-24,White,55.378051,-3.435973
128,32,Female,Bachelor's,Marketing Coordinator,4,50000,USA,White,America,45174,White,37.09024,-95.712891
129,34,Male,Master's,Senior Software Developer,8,105000,Canada,White,America,41913,White,56.130366,106.346771
130,50,Female,Master's,Director of Operations,21,160000,UK,White,Europe,20-24,White,55.378051,-3.435973
131,29,Male,Bachelor's,Junior Web Designer,3,45000,China,White,Asia,45174,White,35.86166,"104.195397	"
132,40,Female,Master's,Senior Training Specialist,12,100000,Canada,Black,America,41913,Black,56.130366,106.346771
133,47,Male,PhD,Senior Research Scientist,22,160000,USA,Hispanic,America,20-24,Other,37.09024,-95.712891
134,27,Male,Bachelor's,Junior Sales Representative,1,35000,UK,Mixed,Europe,0-4,Other,55.378051,-3.435973
135,39,Female,Bachelor's,Administrative Assistant,10,55000,Canada,Black,America,41913,Black,56.130366,106.346771
136,46,Male,Master's,Senior Project Manager,19,140000,Canada,Black,America,20-24,Black,56.130366,106.346771
137,30,Female,Bachelor's,Junior Marketing Manager,4,50000,Canada,White,America,45174,White,56.130366,106.346771
138,36,Male,Bachelor's,Junior Data Analyst,7,60000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
139,43,Female,Master's,Senior Product Marketing Manager,14,120000,Australia,White,Oceania,15-19,White,25.274398,133.775136
140,28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,White,America,0-4,White,37.09024,-95.712891
141,41,Female,Master's,Senior Marketing Manager,13,110000,Australia,Australian,Oceania,15-19,White,25.274398,133.775136
142,33,Male,Bachelor's,Junior Software Developer,5,50000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
143,47,Male,Bachelor's,Senior Sales Manager,20,135000,China,White,Asia,20-24,White,35.86166,"104.195397	"
144,25,Female,Master's,Junior Marketing Specialist,1.5,40000,Australia,Asian,Oceania,0-4,Asian,25.274398,133.775136
145,34,Male,Bachelor's,Senior Business Analyst,8,90000,Australia,Asian,Oceania,41913,Asian,25.274398,133.775136
146,42,Female,PhD,Senior Data Scientist,16,150000,China,Chinese,Asia,15-19,Asian,35.86166,"104.195397	"
147,31,Male,Bachelor's,Junior Project Manager,4,60000,UK,Welsh,Europe,45174,White,55.378051,-3.435973
148,38,Female,Bachelor's,Senior Accountant,10,80000,USA,African American,America,41913,Black,37.09024,-95.712891
149,45,Male,Master's,Director of Sales,19,175000,Canada,Black,America,20-24,Black,56.130366,106.346771
150,29,Female,Bachelor's,Junior Recruiter,3,45000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
151,36,Male,Master's,Senior Business Development Manager,11,120000,Canada,Black,America,41913,Black,56.130366,106.346771
152,43,Female,PhD,Senior Product Designer,18,140000,Australia,Asian,Oceania,20-24,Asian,25.274398,133.775136
153,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,USA,Asian,America,0-4,Asian,37.09024,-95.712891
154,37,Female,Master's,Senior Marketing Analyst,9,95000,Canada,White,America,41913,White,56.130366,106.346771
155,44,Male,Bachelor's,Senior IT Support Specialist,14,110000,USA,African American,America,15-19,Black,37.09024,-95.712891
156,32,Female,Bachelor's,Junior Financial Analyst,5,50000,USA,Asian,America,45174,Asian,37.09024,-95.712891
157,33,Male,Master's,Senior Operations Manager,7,115000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
158,51,Female,PhD,Director of Human Resources,23,185000,China,Chinese,Asia,25-29,Asian,35.86166,"104.195397	"
159,28,Male,Bachelor's,Junior Software Engineer,2,40000,Australia,White,Oceania,0-4,White,25.274398,133.775136
160,39,Female,Bachelor's,Senior Sales Representative,12,90000,USA,Asian,America,41913,Asian,37.09024,-95.712891
161,48,Male,Master's,Director of Product Management,21,175000,USA,Asian,America,20-24,Asian,37.09024,-95.712891
162,30,Female,Bachelor's,Junior Copywriter,3,45000,UK,Mixed,Europe,45174,Other,55.378051,-3.435973
163,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,China,White,Asia,45174,White,35.86166,"104.195397	"
164,41,Female,Master's,Senior Human Resources Manager,13,120000,China,Korean,Asia,15-19,Asian,35.86166,"104.195397	"
165,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,China,White,Asia,0-4,White,35.86166,"104.195397	"
166,40,Female,Bachelor's,Senior Account Manager,14,110000,Australia,Australian,Oceania,15-19,White,25.274398,133.775136
167,46,Male,PhD,Senior Researcher,18,150000,Canada,Black,America,20-24,Black,56.130366,106.346771
168,31,Female,Bachelor's,Junior HR Coordinator,4,50000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
169,34,Male,Master's,Senior Software Engineer,9,105000,China,Korean,Asia,41913,Asian,35.86166,"104.195397	"
170,50,Female,Master's,Director of Finance,20,180000,Australia,Australian,Oceania,20-24,White,25.274398,133.775136
171,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,Canada,Asian,America,0-4,Asian,56.130366,106.346771
172,,,,,,,UK,White,Europe,0-4,White,55.378051,-3.435973
173,43,Male,Bachelor's,Senior Project Manager,16,140000,UK,White,Europe,15-19,White,55.378051,-3.435973
174,26,Female,Master's,Junior Data Scientist,1.5,45000,Canada,Asian,America,0-4,Asian,56.130366,106.346771
175,35,Male,Bachelor's,Senior Operations Analyst,7,85000,China,White,Asia,45174,White,35.86166,"104.195397	"
176,42,Female,PhD,Senior Marketing Manager,18,140000,UK,Asian,Europe,20-24,Asian,55.378051,-3.435973
177,31,Male,Bachelor's,Junior Accountant,4,50000,UK,Welsh,Europe,45174,White,55.378051,-3.435973
178,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,UK,Asian,Europe,41913,Asian,55.378051,-3.435973
179,46,Male,Master's,Director of Operations,20,170000,USA,Asian,America,20-24,Asian,37.09024,-95.712891
180,29,Female,Bachelor's,Junior Sales Representative,2,40000,UK,Welsh,Europe,0-4,White,55.378051,-3.435973
181,37,Male,Master's,Senior Business Analyst,9,105000,China,Chinese,Asia,41913,Asian,35.86166,"104.195397	"
182,44,Female,PhD,Senior UX Designer,15,145000,USA,Hispanic,America,15-19,Other,37.09024,-95.712891
183,27,Male,Bachelor's,Junior Product Manager,2,40000,USA,Hispanic,America,0-4,Other,37.09024,-95.712891
184,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,USA,African American,America,41913,Black,37.09024,-95.712891
185,43,Male,Bachelor's,Senior IT Project Manager,14,130000,China,Chinese,Asia,15-19,Asian,35.86166,"104.195397	"
186,33,Female,Master's,Senior Financial Analyst,6,95000,Canada,White,America,45174,White,56.130366,106.346771
187,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,UK,Mixed,Europe,41913,Other,55.378051,-3.435973
188,50,Female,PhD,Director of Sales and Marketing,22,180000,China,Korean,Asia,20-24,Asian,35.86166,"104.195397	"
189,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,UK,Welsh,Europe,0-4,White,55.378051,-3.435973
190,39,Female,Bachelor's,Senior Account Executive,12,95000,USA,African American,America,41913,Black,37.09024,-95.712891
191,47,Male,Master's,Director of Business Development,19,170000,Australia,Asian,Oceania,20-24,Asian,25.274398,133.775136
192,30,Female,Bachelor's,Junior Social Media Manager,3,45000,Australia,Australian,Oceania,45174,White,25.274398,133.775136
193,34,Male,Bachelor's,Senior Product Manager,7,95000,China,Chinese,Asia,45174,Asian,35.86166,"104.195397	"
194,40,Female,Master's,Senior Human Resources Specialist,13,120000,UK,Welsh,Europe,15-19,White,55.378051,-3.435973
195,28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,African American,America,0-4,Black,37.09024,-95.712891
196,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,Canada,Asian,America,41913,Asian,56.130366,106.346771
197,45,Male,PhD,Senior Data Analyst,17,155000,UK,Asian,Europe,15-19,Asian,55.378051,-3.435973
198,32,Female,Bachelor's,Junior Account Manager,5,55000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
199,35,Male,Master's,Senior Software Developer,9,110000,Canada,Asian,America,41913,Asian,56.130366,106.346771
200,49,Female,Master's,Director of Human Capital,21,180000,UK,Mixed,Europe,20-24,Other,55.378051,-3.435973
201,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,UK,White,Europe,45174,White,55.378051,-3.435973
202,44,Male,Bachelor's,Senior Sales Manager,16,130000,USA,Asian,America,15-19,Asian,37.09024,-95.712891
203,27,Female,Master's,Junior UX Designer,1.5,45000,USA,Hispanic,America,0-4,Other,37.09024,-95.712891
204,36,Male,Bachelor's,Senior Accountant,7,90000,Canada,White,America,45174,White,56.130366,106.346771
205,41,Female,PhD,Senior Marketing Director,17,160000,UK,Mixed,Europe,15-19,Other,55.378051,-3.435973
206,31,Male,Bachelor's,Junior HR Generalist,4,50000,China,Chinese,Asia,45174,Asian,35.86166,"104.195397	"
207,39,Female,Bachelor's,Senior Operations Manager,10,120000,Australia,Asian,Oceania,41913,Asian,25.274398,133.775136
208,47,Male,Master's,Director of Finance,20,170000,Australia,Australian,Oceania,20-24,White,25.274398,133.775136
209,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,China,Korean,Asia,0-4,Asian,35.86166,"104.195397	"
210,38,Male,Master's,Senior IT Consultant,9,110000,China,White,Asia,41913,White,35.86166,"104.195397	"
211,45,Female,PhD,Senior Product Designer,15,150000,China,Chinese,Asia,15-19,Asian,35.86166,"104.195397	"
212,28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian,America,0-4,Asian,37.09024,-95.712891
213,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,USA,White,America,41913,White,37.09024,-95.712891
214,44,Male,Bachelor's,Senior Software Engineer,14,130000,China,Chinese,Asia,15-19,Asian,35.86166,"104.195397	"
215,34,Female,Master's,Senior Financial Advisor,6,100000,UK,Welsh,Europe,45174,White,55.378051,-3.435973
216,35,Male,Bachelor's,Senior Project Coordinator,9,95000,Canada,White,America,41913,White,56.130366,106.346771
217,50,Female,PhD,Director of Operations,22,180000,Australia,Australian,Oceania,20-24,White,25.274398,133.775136
218,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,UK,Asian,Europe,0-4,Asian,55.378051,-3.435973
219,40,Female,Bachelor's,Senior Sales Representative,12,100000,China,Chinese,Asia,41913,Asian,35.86166,"104.195397	"
220,48,Male,Master's,Director of Marketing,19,170000,USA,Hispanic,America,20-24,Other,37.09024,-95.712891
221,31,Female,Bachelor's,Junior Social Media Specialist,3,45000,UK,Welsh,Europe,45174,White,55.378051,-3.435973
222,33,Male,Bachelor's,Senior Product Development Manager,7,100000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
223,42,Female,Master's,Senior Human Resources Manager,13,140000,China,White,Asia,15-19,White,35.86166,"104.195397	"
224,28,Male,Bachelor's,Junior Financial Analyst,2,40000,Australia,Australian,Oceania,0-4,White,25.274398,133.775136
225,40,Female,Bachelor's,Senior Marketing Manager,11,105000,UK,White,Europe,41913,White,55.378051,-3.435973
226,46,Male,PhD,Senior Data Scientist,18,160000,Canada,White,America,20-24,White,56.130366,106.346771
227,33,Female,Bachelor's,Junior Operations Manager,5,70000,Australia,Asian,Oceania,45174,Asian,25.274398,133.775136
228,37,Male,Master's,Senior Software Architect,9,120000,Australia,Australian,Oceania,41913,White,25.274398,133.775136
229,51,Female,Master's,Director of Human Resources,21,190000,USA,Hispanic,America,20-24,Other,37.09024,-95.712891
230,30,Male,Bachelor's,Junior Marketing Specialist,3,45000,Canada,Black,America,45174,Black,56.130366,106.346771
231,43,Male,Bachelor's,Senior Project Manager,15,120000,Canada,Asian,America,15-19,Asian,56.130366,106.346771
232,27,Female,Master's,Junior Research Scientist,1.5,50000,China,White,Asia,0-4,White,35.86166,"104.195397	"
233,35,Male,Bachelor's,Senior Operations Analyst,8,85000,Canada,White,America,41913,White,56.130366,106.346771
234,42,Female,PhD,Senior Marketing Manager,13,140000,Canada,White,America,15-19,White,56.130366,106.346771
235,32,Male,Bachelor's,Junior Sales Representative,3,45000,Australia,White,Oceania,45174,White,25.274398,133.775136
236,37,Female,Bachelor's,Senior Financial Analyst,9,100000,UK,Welsh,Europe,41913,White,55.378051,-3.435973
237,45,Male,Master's,Senior Software Developer,16,140000,Australia,Asian,Oceania,15-19,Asian,25.274398,133.775136
238,33,Female,Bachelor's,Junior Operations Analyst,5,70000,Canada,Asian,America,45174,Asian,56.130366,106.346771
239,39,Male,Bachelor's,Senior Marketing Specialist,10,120000,Canada,Black,America,41913,Black,56.130366,106.346771
240,44,Female,PhD,Senior HR Manager,18,160000,Canada,White,America,20-24,White,56.130366,106.346771
241,29,Male,Bachelor's,Junior Business Analyst,1.5,40000,Australia,Australian,Oceania,0-4,White,25.274398,133.775136
242,38,Female,Bachelor's,Senior Product Manager,10,120000,China,Korean,Asia,41913,Asian,35.86166,"104.195397	"
243,46,Male,PhD,Senior Data Analyst,19,150000,UK,Asian,Europe,20-24,Asian,55.378051,-3.435973
244,34,Female,Bachelor's,Junior Marketing Analyst,6,70000,USA,Asian,America,45174,Asian,37.09024,-95.712891
245,36,Male,Bachelor's,Senior Operations Manager,8,95000,USA,White,America,41913,White,37.09024,-95.712891
246,49,Female,Master's,Director of Marketing,21,180000,Canada,White,America,20-24,White,56.130366,106.346771
247,31,Male,Bachelor's,Junior Financial Analyst,3,50000,Canada,Black,America,45174,Black,56.130366,106.346771
248,41,Female,Bachelor's,Senior Project Coordinator,11,95000,USA,African American,America,41913,Black,37.09024,-95.712891
249,47,Male,Master's,Director of Operations,20,170000,Canada,White,America,20-24,White,56.130366,106.346771
250,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,USA,White,America,0-4,White,37.09024,-95.712891
251,38,Male,Master's,Senior IT Consultant,9,110000,Australia,Australian,Oceania,41913,White,25.274398,133.775136
252,45,Female,PhD,Senior Product Designer,15,150000,China,Korean,Asia,15-19,Asian,35.86166,"104.195397	"
253,28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian,America,0-4,Asian,37.09024,-95.712891
